Total_Stops,Price,journey_Month,Dep_hour,Arrival_hour,Duration_hours,Airline
1,11789,6,6,19,13,Multiple carriers
2,20845,3,17,16,23,Jet Airways
0,7229,4,19,22,3,Jet Airways
0,8855,3,22,1,2,IndiGo
1,15554,5,11,19,7,Jet Airways
1,6674,5,6,16,9,GoAir
1,6573,4,9,1,16,IndiGo
1,9345,5,7,23,16,Vistara
0,6300,3,8,10,2,SpiceJet
1,8844,5,11,18,7,Jet Airways
1,8844,5,15,21,5,SpiceJet
2,11150,6,23,12,13,Jet Airways
2,18275,6,17,1,7,Multiple carriers
0,5088,6,19,22,2,Vistara
1,6493,6,17,22,5,IndiGo
2,13029,5,5,4,22,Jet Airways
1,19495,3,14,19,5,GoAir
1,10703,5,17,23,6,Jet Airways
2,13029,5,5,19,13,Jet Airways
1,9794,5,8,19,10,Multiple carriers
1,9929,5,7,19,12,Air India
1,7832,3,8,20,12,Jet Airways
1,14777,3,19,7,12,Air India
1,14714,6,21,12,14,Jet Airways
1,12898,5,14,19,5,Jet Airways
2,13616,5,9,17,31,Air India
0,3850,5,7,10,2,IndiGo
1,9663,5,16,9,16,Jet Airways
0,4488,4,20,22,2,IndiGo
1,7064,5,10,17,7,Jet Airways
1,8610,5,20,20,24,Vistara
1,10262,6,20,19,22,Jet Airways
1,8372,5,9,9,23,Air India
1,8285,3,8,21,12,IndiGo
0,3841,6,22,0,2,SpiceJet
0,3943,5,1,4,2,IndiGo
1,8073,5,19,1,6,Multiple carriers
2,9653,5,12,7,19,Air India
0,2754,6,12,13,1,IndiGo
1,14714,6,15,19,28,Jet Airways
0,3807,4,22,1,2,Air Asia
0,5613,4,19,22,2,Vistara
1,14594,3,11,19,8,Air India
1,10844,5,16,16,23,Jet Airways
1,8586,5,18,4,9,Jet Airways
0,4995,5,7,8,1,Jet Airways
2,9254,3,10,18,32,Jet Airways
0,3943,5,10,13,2,IndiGo
1,13731,5,20,8,12,Air India
1,10577,6,16,19,27,Jet Airways
1,7215,3,11,21,9,Multiple carriers
0,1965,5,22,0,1,SpiceJet
1,7452,5,20,7,10,Air Asia
0,5755,5,9,10,1,IndiGo
0,3625,5,9,12,2,SpiceJet
0,6934,6,14,17,3,Air India
0,4668,6,11,14,2,Vistara
1,8759,6,7,15,7,Air Asia
0,7229,4,19,22,3,Jet Airways
1,10262,6,18,4,10,Jet Airways
1,17057,3,2,15,13,Multiple carriers
1,8610,5,7,20,13,Vistara
1,17261,3,14,9,18,Jet Airways
0,5678,5,2,4,1,Jet Airways
0,3100,5,15,16,1,Air India
0,3919,4,9,12,2,SpiceJet
1,16289,3,18,18,24,Jet Airways
1,11467,5,9,14,28,Jet Airways
0,6216,6,14,17,3,Vistara
1,13044,6,20,12,16,Jet Airways
0,3841,5,17,19,2,SpiceJet
1,17024,3,19,4,9,Jet Airways
1,10844,5,21,16,19,Jet Airways
1,12327,3,16,1,9,Multiple carriers
0,6934,5,14,17,3,Air India
1,5797,6,15,1,10,Multiple carriers
0,4544,4,15,18,2,Jet Airways
2,10441,6,22,19,21,Air India
1,6117,5,19,11,16,Air India
0,4423,4,13,15,2,IndiGo
1,10262,6,14,19,5,Jet Airways
0,7171,6,17,19,2,Air India
1,8759,6,7,22,14,Air Asia
2,12778,3,8,16,31,Air India
1,13469,6,20,9,13,Jet Airways
0,5228,6,21,23,2,Air India
1,17024,3,7,18,11,Jet Airways
1,5947,3,21,1,4,IndiGo
2,8971,3,5,7,25,Air India
0,5403,3,7,9,2,Vistara
0,4544,4,6,8,2,Jet Airways
1,13941,5,21,4,7,Jet Airways
1,15353,3,6,19,13,Multiple carriers
1,6795,5,11,1,13,Multiple carriers
0,7229,5,17,20,3,Jet Airways
1,8075,3,15,1,10,IndiGo
2,18275,6,17,1,7,Multiple carriers
1,11392,3,0,8,8,Air India
0,7648,3,18,21,2,IndiGo
1,12373,5,15,4,13,Jet Airways
1,7038,6,14,22,7,Multiple carriers
0,7608,3,21,0,2,Vistara
2,13029,5,9,19,9,Jet Airways
1,9663,5,14,4,14,Air Asia
0,8016,6,6,8,2,Jet Airways
1,6534,5,21,2,5,Multiple carriers
0,7229,6,7,10,3,Jet Airways
1,8372,6,9,19,10,Air India
0,4282,6,4,7,2,Air Asia
0,4823,4,8,11,2,IndiGo
1,9385,5,13,21,8,Multiple carriers
1,12681,4,8,19,11,Jet Airways
0,3841,5,17,19,2,SpiceJet
0,5613,4,9,12,2,Jet Airways Business
2,15129,5,23,12,13,Jet Airways
1,10262,6,14,19,5,Jet Airways
1,13059,6,14,4,14,Jet Airways
0,3873,5,22,0,2,SpiceJet
1,6007,6,11,21,9,Multiple carriers
1,9135,5,17,18,25,Vistara
2,9417,5,13,9,20,Air India
0,3943,6,6,8,2,IndiGo
1,5583,6,6,11,5,SpiceJet
1,13587,6,7,21,13,Multiple carriers
1,7893,4,20,12,15,Air India
1,23677,3,6,12,5,IndiGo
1,7741,6,10,19,8,Multiple carriers
0,6478,6,7,10,3,Jet Airways
1,14571,6,6,12,5,Jet Airways
0,4591,4,10,13,2,IndiGo
0,4174,4,17,19,2,SpiceJet
1,13067,5,17,10,17,Jet Airways
0,3597,5,19,21,2,IndiGo
2,15129,5,19,19,23,Jet Airways
1,16736,3,7,19,12,Jet Airways
0,3311,5,5,8,2,SpiceJet
1,11087,3,18,10,15,Jet Airways
0,4591,5,23,2,2,IndiGo
0,2754,4,2,4,1,IndiGo
1,5117,4,20,9,12,Air India
1,9646,5,9,16,6,IndiGo
0,4148,3,14,16,2,Jet Airways
2,22096,3,16,19,26,Air India
1,12395,3,15,16,25,Vistara
0,7229,4,7,10,3,Jet Airways
2,12125,4,9,23,13,Air India
1,6540,3,8,18,10,Jet Airways
0,2759,3,19,21,1,Jet Airways
0,5678,3,15,17,1,Jet Airways
1,10197,5,10,19,9,Multiple carriers
2,11411,5,5,23,17,Air India
0,3943,5,22,1,2,IndiGo
1,7480,5,20,9,12,Air India
1,12898,5,8,19,11,Jet Airways
0,3873,6,6,9,2,SpiceJet
0,4423,4,6,8,2,IndiGo
1,14848,5,10,19,9,Multiple carriers
0,3943,5,10,13,2,SpiceJet
0,4049,6,6,7,1,IndiGo
0,4174,5,17,19,2,SpiceJet
2,9916,4,20,19,23,Air India
1,12121,5,17,9,16,Jet Airways
1,8586,5,6,4,22,Jet Airways
0,7229,6,7,10,3,Jet Airways
1,5073,4,7,12,4,IndiGo
1,8224,5,15,21,5,SpiceJet
1,8066,5,17,10,17,Jet Airways
1,7662,5,12,13,25,Air India
1,6717,3,7,22,15,Multiple carriers
1,5583,6,6,11,5,SpiceJet
1,10703,5,20,21,24,Air India
2,5562,4,5,13,7,Air India
1,7464,5,2,7,5,IndiGo
1,9486,5,9,0,15,Multiple carriers
2,11911,3,16,19,26,Air India
1,14871,3,16,1,9,IndiGo
0,3625,6,5,8,2,SpiceJet
1,15058,5,8,19,11,Multiple carriers
1,6838,4,17,1,8,Multiple carriers
1,14571,6,20,12,16,Jet Airways
1,7690,6,20,9,12,Air India
1,8266,5,8,19,10,Multiple carriers
0,4632,4,7,10,2,GoAir
1,12395,3,7,19,12,Vistara
1,10262,6,19,4,9,Jet Airways
1,14067,5,14,21,7,Multiple carriers
1,11467,5,17,14,21,Jet Airways
0,4667,6,11,13,2,Air India
1,8372,5,8,19,11,Air India
1,14781,5,5,19,14,Jet Airways
2,10493,6,5,19,37,Air India
2,20064,3,5,18,37,Jet Airways
0,4937,4,11,14,2,GoAir
1,12692,6,20,18,21,Jet Airways
1,5583,6,15,22,6,SpiceJet
0,4823,5,20,22,2,IndiGo
2,9863,5,16,19,26,Jet Airways
1,9064,3,6,23,16,Air India
0,6245,5,14,16,2,Air India
1,14594,3,11,19,8,Air India
1,13067,5,20,19,22,IndiGo
1,10262,6,9,4,19,Jet Airways
1,4466,3,8,13,4,SpiceJet
1,7480,5,17,9,16,Air India
1,13941,5,14,4,14,Jet Airways
0,7229,4,15,18,2,Jet Airways
1,8759,6,7,22,14,Air Asia
1,7670,5,10,21,10,Multiple carriers
1,11087,3,8,21,12,Jet Airways
0,3100,6,15,16,1,Air India
2,9254,3,5,4,23,Jet Airways
1,17267,3,7,21,13,Multiple carriers
0,6961,5,6,8,2,Jet Airways
1,10276,3,9,16,6,Multiple carriers
1,12384,5,9,19,9,Jet Airways
0,6541,5,14,17,3,Air India
1,7480,5,9,9,23,Air India
0,4148,3,9,12,2,IndiGo
0,3100,6,6,7,1,Air India
0,3943,4,0,3,2,IndiGo
2,13591,6,14,19,28,Air India
0,5989,5,19,22,2,Jet Airways
0,3971,4,9,12,2,SpiceJet
2,15292,3,13,23,33,Air India
1,14231,3,19,8,12,IndiGo
1,5069,5,8,13,4,IndiGo
1,10031,3,21,23,26,Jet Airways
1,4226,5,6,10,4,IndiGo
1,17471,3,21,20,22,Jet Airways
1,13941,5,6,19,13,Jet Airways
1,9314,5,20,18,21,Jet Airways
1,12890,3,17,10,17,Vistara
1,14714,6,19,19,23,Jet Airways
1,10262,6,17,12,19,Jet Airways
1,12692,6,9,23,14,Jet Airways
2,8378,3,11,21,9,Jet Airways
1,7893,4,17,8,15,Air India
1,4775,4,15,20,5,IndiGo
0,3419,5,7,10,2,GoAir
1,9646,6,13,22,9,Vistara
0,7229,4,7,10,3,Jet Airways
0,4174,4,22,0,2,Jet Airways
1,6442,5,6,22,15,IndiGo
1,7731,3,2,8,5,IndiGo
1,10262,6,11,19,7,IndiGo
1,5930,6,21,2,5,Multiple carriers
1,12284,3,5,15,9,Jet Airways
0,4174,4,9,11,2,SpiceJet
0,6297,3,13,15,2,Jet Airways
1,9870,5,17,20,27,Vistara
1,6069,6,16,21,5,IndiGo
0,2754,4,19,20,1,Jet Airways
0,7229,5,19,22,3,Jet Airways
0,5911,4,13,16,2,IndiGo
1,5583,6,6,11,5,SpiceJet
1,11142,4,8,19,11,Multiple carriers
1,6442,3,7,16,8,IndiGo
2,8728,3,5,18,13,Jet Airways
1,14231,3,13,9,19,Jet Airways
0,12411,3,6,9,3,Vistara
1,6451,5,7,15,7,Air Asia
1,7468,6,17,8,14,Air India
1,7858,5,17,0,7,Multiple carriers
1,6093,4,7,16,9,Multiple carriers
2,15129,5,5,4,22,Jet Airways
1,10261,6,11,19,7,Multiple carriers
1,11087,3,22,10,11,Jet Airways
1,6112,3,7,13,5,Jet Airways
2,15812,6,11,19,7,Jet Airways
1,17024,3,9,18,9,Jet Airways
0,3175,3,16,18,1,IndiGo
1,12102,3,17,22,29,Vistara
2,10676,5,12,18,30,Air India
1,8372,5,21,7,10,Air India
1,10262,6,11,12,25,Jet Airways
1,7198,6,10,1,15,Multiple carriers
0,5831,3,22,0,2,SpiceJet
1,10262,6,13,12,23,Jet Airways
0,3847,3,9,11,2,SpiceJet
1,7723,6,10,1,15,Multiple carriers
1,12373,5,18,4,10,Jet Airways
1,10262,6,10,12,26,IndiGo
2,16372,5,9,13,28,Air India
1,8026,3,9,13,4,Multiple carriers
1,12402,6,8,19,11,Multiple carriers
0,2017,5,22,0,1,SpiceJet
0,3210,5,2,4,1,Jet Airways
1,5006,4,14,15,24,Air India
0,4544,4,18,22,3,Jet Airways
2,16704,5,13,4,15,Jet Airways
0,3597,5,8,10,2,SpiceJet
1,9627,5,10,19,8,Multiple carriers
2,12009,5,9,21,12,Air India
2,13276,5,10,19,8,Air India
1,11134,3,13,19,5,Jet Airways
0,3100,4,6,7,1,Air India
0,4544,4,6,8,2,Jet Airways
1,7618,5,7,21,14,Multiple carriers
1,4226,4,6,10,4,IndiGo
1,12373,5,8,4,20,Jet Airways
0,11982,6,17,20,2,Vistara
0,2754,5,19,20,1,IndiGo
1,9314,5,17,14,21,Jet Airways
1,6762,3,15,20,5,IndiGo
0,4049,5,6,7,1,IndiGo
1,10844,5,6,16,9,Jet Airways
0,4668,5,11,14,2,Vistara
0,3384,3,17,20,2,SpiceJet
0,3597,5,17,20,2,SpiceJet
1,6945,5,23,7,8,GoAir
2,10441,6,22,19,21,Air India
1,14848,6,11,19,7,Multiple carriers
1,12080,3,7,9,25,Vistara
1,8618,5,2,7,5,IndiGo
2,10697,6,8,18,10,Air India
1,6838,5,8,21,12,IndiGo
2,12723,6,5,23,17,Air India
0,7240,3,21,0,2,Vistara
1,8307,3,9,15,6,Multiple carriers
2,11885,3,8,10,25,Air India
1,6795,6,19,1,6,Multiple carriers
1,11789,6,8,19,10,Multiple carriers
0,4823,6,20,22,2,IndiGo
0,4778,3,5,8,2,IndiGo
1,11087,3,20,19,22,Jet Airways
1,9358,5,10,17,7,Jet Airways
0,3971,4,21,0,2,SpiceJet
1,7832,3,8,19,10,Jet Airways
1,13912,3,6,12,5,Air India
1,8258,3,7,12,4,IndiGo
1,6528,5,14,14,24,Air India
0,6135,3,23,2,2,Air Asia
0,4384,3,22,1,2,Air Asia
1,8662,6,20,22,26,Jet Airways
1,9345,5,7,23,16,Vistara
1,9646,6,9,16,6,Multiple carriers
1,10262,6,9,12,27,Jet Airways
1,8227,3,7,13,5,IndiGo
1,13067,5,20,15,18,Jet Airways
1,13555,3,16,23,6,Jet Airways
2,12760,3,9,9,23,Air India
0,3419,6,0,3,2,IndiGo
1,5797,6,17,1,7,Multiple carriers
1,6818,6,5,12,7,IndiGo
1,5054,5,16,21,5,IndiGo
0,5618,3,15,17,2,IndiGo
1,13044,6,18,19,24,Jet Airways
1,14714,6,11,4,16,Jet Airways
1,12373,5,20,4,7,Jet Airways
1,19828,3,11,4,16,Jet Airways
1,10262,6,14,12,22,Jet Airways
1,8266,5,6,19,13,Multiple carriers
1,7064,4,20,20,24,Jet Airways
1,6442,6,6,22,15,IndiGo
0,6144,5,19,22,3,Jet Airways
1,16079,5,11,19,7,Jet Airways
0,6216,5,14,17,3,Vistara
1,4226,5,19,23,3,IndiGo
1,14781,5,8,20,12,Jet Airways
1,7832,3,11,10,22,Jet Airways
1,10262,6,15,4,13,Jet Airways
1,10877,6,11,19,7,Multiple carriers
2,13344,6,5,12,7,Jet Airways
1,5386,5,17,22,4,IndiGo
1,12898,5,14,19,5,Jet Airways
1,12692,6,9,10,25,Jet Airways
0,4353,3,21,0,2,Vistara
1,14781,5,16,22,6,Air India
1,6540,3,19,4,9,Jet Airways
0,3573,6,21,0,2,SpiceJet
0,4807,4,22,0,2,SpiceJet
1,9134,3,7,13,6,Jet Airways
0,5228,5,10,12,2,Air India
1,10844,5,20,19,23,Jet Airways
0,11982,5,17,20,2,Vistara
1,6674,3,7,16,8,IndiGo
0,5201,6,5,8,2,Air India
1,13377,6,14,1,11,Jet Airways Business
2,13227,5,9,8,23,Air India
1,17073,3,17,1,8,Multiple carriers
1,6069,5,20,1,5,IndiGo
1,27992,3,11,21,9,Jet Airways
1,10678,6,4,12,7,Multiple carriers
1,12284,3,5,13,7,Jet Airways
0,3873,4,9,11,2,SpiceJet
1,7005,6,12,21,8,Multiple carriers
2,15129,5,19,12,17,Multiple carriers
1,11134,3,16,9,16,Jet Airways
1,14388,5,5,9,27,Jet Airways
2,16914,3,5,19,38,Jet Airways
2,13904,3,6,19,37,Air India
2,13180,3,16,18,26,Jet Airways
0,3597,5,13,15,2,IndiGo
2,13591,6,20,19,23,Air India
0,4990,6,16,19,3,IndiGo
0,3873,6,17,19,2,SpiceJet
1,8907,5,20,23,26,Air India
1,8266,6,11,19,7,Multiple carriers
1,14714,6,16,12,20,Jet Airways
2,11507,6,9,12,27,Jet Airways
2,10991,6,5,20,14,Air India
0,3100,5,6,7,1,Air India
1,13364,4,14,19,5,Jet Airways
1,7064,4,18,19,24,Jet Airways
1,9748,3,15,21,6,SpiceJet
1,13555,3,21,9,11,Jet Airways
0,4174,4,15,18,2,IndiGo
2,13848,5,14,4,13,Jet Airways
1,16736,3,11,5,17,Jet Airways
1,16439,3,10,19,9,Air India
1,6795,6,12,1,12,Multiple carriers
1,14388,5,20,9,13,Jet Airways
1,13759,3,19,4,9,Jet Airways
0,4804,6,21,0,2,IndiGo
0,3841,5,6,9,2,SpiceJet
0,3419,5,22,1,2,IndiGo
0,4392,3,9,10,1,IndiGo
0,2754,6,1,3,1,IndiGo
1,7280,3,9,14,4,Jet Airways
1,19225,3,11,18,6,Jet Airways
1,14781,5,6,18,11,Jet Airways
0,3873,4,22,0,2,SpiceJet
0,4332,3,19,21,2,IndiGo
1,5281,4,10,19,9,GoAir
0,7414,3,7,9,2,Vistara
0,6688,3,14,17,2,Vistara
0,2227,5,21,22,1,IndiGo
0,5911,4,6,8,2,Air India
0,4804,6,4,7,2,IndiGo
1,7832,3,22,10,11,SpiceJet
0,3943,5,4,6,2,IndiGo
0,3687,6,7,9,2,Vistara
0,8016,6,15,18,2,Jet Airways
0,4462,3,20,23,2,IndiGo
2,11753,6,10,19,8,Jet Airways
1,13817,3,22,12,13,Jet Airways
3,12346,3,5,12,30,Air India
0,2050,3,19,20,1,Air India
0,4804,6,11,14,2,IndiGo
1,8574,3,6,15,8,IndiGo
1,14571,5,6,18,11,Air Asia
0,6565,3,10,12,2,IndiGo
0,7229,4,15,18,2,Jet Airways
1,13502,3,14,8,18,Jet Airways
0,4823,5,18,21,2,IndiGo
1,8452,5,20,22,26,Vistara
2,15129,5,5,4,22,Jet Airways
0,3858,5,14,17,2,IndiGo
0,3384,3,17,20,2,SpiceJet
1,8510,6,10,1,15,Multiple carriers
0,5964,3,19,22,2,Jet Airways
1,5752,5,7,12,5,IndiGo
0,2227,6,13,14,1,SpiceJet
1,12583,3,22,4,6,Jet Airways
1,7575,5,11,19,7,Multiple carriers
0,5678,6,2,4,1,Jet Airways
0,4462,3,10,12,2,IndiGo
0,6216,6,14,17,3,Vistara
2,11516,4,5,23,17,Air India
1,14714,6,20,12,15,Jet Airways
1,10844,6,6,18,11,Jet Airways
0,6961,5,10,12,2,Air India
1,7408,6,9,21,12,Multiple carriers
1,6916,3,7,22,15,Multiple carriers
1,8610,6,20,23,27,Vistara
1,7198,6,13,1,12,IndiGo
2,11732,6,18,19,24,Air India
1,8327,5,16,7,14,Air Asia
1,6412,5,14,22,8,IndiGo
1,10262,6,14,4,14,Jet Airways
1,7646,4,15,21,5,SpiceJet
1,6818,5,5,12,7,IndiGo
2,17926,3,11,19,31,Air India
1,14871,3,9,1,16,IndiGo
1,12384,5,9,21,11,Jet Airways
0,5780,4,18,21,2,IndiGo
1,16079,5,10,19,9,Jet Airways
1,13067,5,9,14,28,Jet Airways
0,6885,3,5,8,3,IndiGo
0,6860,3,16,19,2,IndiGo
1,14762,3,14,22,7,Jet Airways
0,3384,3,7,10,2,IndiGo
0,4423,4,1,4,2,IndiGo
0,4148,3,15,17,2,IndiGo
0,3873,6,22,0,2,SpiceJet
1,8452,6,20,9,12,Vistara
1,10056,4,6,12,5,Jet Airways
1,14571,5,18,12,17,Jet Airways
1,10794,6,20,7,10,Air Asia
1,10262,6,16,4,12,Multiple carriers
1,10262,6,16,4,12,Jet Airways
3,15629,6,11,21,9,Multiple carriers
0,4804,6,9,12,2,IndiGo
0,3873,4,9,11,2,SpiceJet
1,8372,6,20,19,23,Air India
1,5963,3,16,18,26,Jet Airways
1,6093,6,11,21,9,IndiGo
0,4423,5,13,15,2,IndiGo
1,7725,3,16,21,5,IndiGo
0,9564,5,11,14,3,Vistara
0,3841,6,6,9,2,SpiceJet
0,4148,3,15,17,2,IndiGo
1,7353,5,16,7,14,Air Asia
1,5457,6,7,12,5,GoAir
2,12173,6,10,19,8,Air India
1,14781,5,14,23,9,Jet Airways
2,14300,6,20,12,16,Jet Airways
0,4174,4,17,19,2,IndiGo
1,14815,3,8,7,22,Jet Airways
0,4781,3,6,9,2,SpiceJet
1,13941,5,16,4,12,Jet Airways
0,3687,6,7,9,2,Vistara
1,12032,3,9,18,8,Jet Airways
0,5510,5,14,16,2,Air India
1,7064,4,6,18,11,Jet Airways
0,4544,4,18,22,3,Jet Airways
1,12032,3,9,18,9,Jet Airways
1,6795,5,12,1,12,Multiple carriers
0,2437,5,13,14,1,SpiceJet
0,4030,5,18,22,3,Jet Airways
1,5699,5,17,22,4,IndiGo
1,11401,3,10,18,7,SpiceJet
1,7770,4,20,22,26,Jet Airways
1,7503,5,18,1,6,IndiGo
1,14815,3,11,0,13,Jet Airways
1,8759,6,7,13,5,Air Asia
2,15318,5,20,4,8,Multiple carriers
0,3175,5,16,18,1,IndiGo
1,14781,5,6,16,9,Jet Airways
1,12395,3,7,9,25,Vistara
1,10262,6,22,19,20,Jet Airways
0,3943,5,21,0,3,Multiple carriers
